@relation 'indiaWheat-weka.filters.unsupervised.attribute.Remove-R2-3,5,7,9,11,13-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R2'

@attribute Year {'\'(-inf-1971.4]\'','\'(1971.4-1981.8]\'','\'(1981.8-1992.2]\'','\'(1992.2-2002.6]\'','\'(2002.6-inf)\''}
@attribute 'Area Harvested [ha]' {'\'(-inf-16029600]\'','\'(16029600-19487200]\'','\'(19487200-22944800]\'','\'(22944800-26402400]\'','\'(26402400-inf)\''}
@attribute 'Yield [hg/ha]' {'\'(-inf-12194.2]\'','\'(12194.2-17089.4]\'','\'(17089.4-21984.6]\'','\'(21984.6-26879.8]\'','\'(26879.8-inf)\''}
@attribute 'Production [t]' {'\'(-inf-26858400]\'','\'(26858400-43863800]\'','\'(43863800-60869200]\'','\'(60869200-77874600]\'','\'(77874600-inf)\''}
@attribute 'Seed [t]' {'\'(-inf-1477400]\'','\'(1477400-2176800]\'','\'(2176800-2876200]\'','\'(2876200-3575600]\'','\'(3575600-inf)\''}
@attribute Rainfall {'\'(-inf-914.03999]\'','\'(914.03999-992.17497]\'','\'(992.17497-1070.30995]\'','\'(1070.30995-1148.44493]\'','\'(1148.44493-inf)\''}
@attribute 'Temp [T ]' numeric

@data
'\'(-inf-1971.4]\'','\'(-inf-16029600]\'','\'(-inf-12194.2]\'','\'(-inf-26858400]\'','\'(-inf-1477400]\'','\'(1148.44493-inf)\'',285.187
'\'(-inf-1971.4]\'','\'(-inf-16029600]\'','\'(-inf-12194.2]\'','\'(-inf-26858400]\'','\'(-inf-1477400]\'','\'(992.17497-1070.30995]\'',286.2977
'\'(-inf-1971.4]\'','\'(-inf-16029600]\'','\'(-inf-12194.2]\'','\'(-inf-26858400]\'','\'(-inf-1477400]\'','\'(1070.30995-1148.44493]\'',287.9726
'\'(-inf-1971.4]\'','\'(-inf-16029600]\'','\'(-inf-12194.2]\'','\'(-inf-26858400]\'','\'(-inf-1477400]\'','\'(1070.30995-1148.44493]\'',288.0206
'\'(-inf-1971.4]\'','\'(-inf-16029600]\'','\'(-inf-12194.2]\'','\'(-inf-26858400]\'','\'(-inf-1477400]\'','\'(-inf-914.03999]\'',289.4585
'\'(-inf-1971.4]\'','\'(-inf-16029600]\'','\'(-inf-12194.2]\'','\'(-inf-26858400]\'','\'(-inf-1477400]\'','\'(914.03999-992.17497]\'',292.8968
'\'(-inf-1971.4]\'','\'(-inf-16029600]\'','\'(-inf-12194.2]\'','\'(-inf-26858400]\'','\'(-inf-1477400]\'','\'(992.17497-1070.30995]\'',287.3982
'\'(-inf-1971.4]\'','\'(-inf-16029600]\'','\'(-inf-12194.2]\'','\'(-inf-26858400]\'','\'(-inf-1477400]\'','\'(914.03999-992.17497]\'',286.0124
'\'(-inf-1971.4]\'','\'(-inf-16029600]\'','\'(-inf-12194.2]\'','\'(-inf-26858400]\'','\'(-inf-1477400]\'','\'(992.17497-1070.30995]\'',293.6755
'\'(-inf-1971.4]\'','\'(16029600-19487200]\'','\'(-inf-12194.2]\'','\'(-inf-26858400]\'','\'(1477400-2176800]\'','\'(1148.44493-inf)\'',288.353
