@relation 'UnitedKingdomWheat-weka.filters.unsupervised.attribute.Remove-R2-3,5,7,9,11,13'

@attribute Year numeric
@attribute Country {'United Kingdom'}
@attribute 'Area Harvested [ha]' numeric
@attribute 'Yield [hg/ha]' numeric
@attribute 'Production [t]' numeric
@attribute 'Seed [t]' numeric
@attribute Rainfall numeric
@attribute Temp numeric

@data
1961,'United Kingdom',739000,35372,2614000,178000,1187.7166,104.01944
1962,'United Kingdom',913000,43527,3974000,152000,1093.5419,91.03365
1963,'United Kingdom',780000,39051,3046000,173000,1068.0098,92.05197
1964,'United Kingdom',893000,42475,3793000,197000,997.0321,100.07435
1965,'United Kingdom',1026000,40653,4171000,176000,1214.4224,93.06966
1966,'United Kingdom',906174,38355,3475645,184000,1260.124,98.67317
1967,'United Kingdom',933214,41832,3903807,190000,1289.7739,102.33273
1968,'United Kingdom',978269,35471,3470000,163000,1156.679,98.2407
1969,'United Kingdom',833205,40383,3364750,196000,1078.1485,97.28026
1970,'United Kingdom',1010392,41939,4237460,212000,1190.294,99.76965
1971,'United Kingdom',1097425,43890,4816560,219000,1084.8924,109.08961
1972,'United Kingdom',1127412,42412,4781540,222000,1051.3223,98.18782
1973,'United Kingdom',1146412,43654,5004535,240000,1005.2102,101.59697
1974,'United Kingdom',1233432,49712,6131587,200000,1243.9607,101.43313
1975,'United Kingdom',1035432,43344,4488000,241000,993.5036,106.07529
1976,'United Kingdom',1231000,38505,4740000,209000,1064.3641,105.80766
1977,'United Kingdom',1076230,49006,5274163,243000,1180.8265,100.00106
1978,'United Kingdom',1258417,52526,6610000,267000,1138.3231,99.43276
1979,'United Kingdom',1370760,52292,7168000,280000,1247.7193,92.13275
1980,'United Kingdom',1440909,58782,8470000,272000,1249.4146,100.20933
1981,'United Kingdom',1491000,58417,8710000,289000,1246.9086,97.65211
1982,'United Kingdom',1663000,62057,10320000,294000,1300.0866,103.88892
1983,'United Kingdom',1695000,63717,10800000,338000,1169.2915,105.35516
1984,'United Kingdom',1939000,77205,14970000,325000,1182.1731,103.02251
1985,'United Kingdom',1902000,63333,12046000,347000,1198.167,93.21293
1986,'United Kingdom',1997000,69659,13911000,359000,1289.5406,91.65838
1987,'United Kingdom',1994000,59880,11940000,335000,1147.9863,95.79856
1988,'United Kingdom',1886000,62142,11720000,365000,1253.8449,104.85307
1989,'United Kingdom',2083000,67369,14033000,365000,1144.869,110.4721
1990,'United Kingdom',2013000,69712,14033000,353000,1330.045,112.31567
1991,'United Kingdom',1980500,72522,14363000,357000,1103.829,103.11024
1992,'United Kingdom',2067000,68191,14095000,311000,1322.3729,104.26099
1993,'United Kingdom',1758998,73280,12890000,310000,1243.2861,100.93738
1994,'United Kingdom',1811000,73528,13316000,335000,1335.3405,107.50402
1995,'United Kingdom',1859000,76988,14312000,356000,1152.4746,112.33313
1996,'United Kingdom',1976000,81478,16100000,366000,1022.2098,100.24058
1997,'United Kingdom',2036000,73762,15018000,368000,1135.3071,113.90805
1998,'United Kingdom',2045000,75545,15449000,332000,1389.8525,110.33132
1999,'United Kingdom',1847000,80493,14867000,375000,1364.0876,112.36451
2000,'United Kingdom',2086000,80077,16704000,265000,1420.0646,109.29328
2001,'United Kingdom',1635000,70826,11580000,298000,1126.7593,106.08894
2002,'United Kingdom',1996000,80025,15973000,281000,1422.0198,113.77097
2003,'United Kingdom',1837000,77779,14288000,281000,967.9746,114.00233
2004,'United Kingdom',1990000,77754,15473000,275000,1281.3138,113.70186
2005,'United Kingdom',1867000,79609,14863000,254000,1158.7586,112.79301
2006,'United Kingdom',1835000,80365,14747000,254000,1215.3759,116.17058
2007,'United Kingdom',1830000,72246,13221000,311000,1229.1827,116.59787
2008,'United Kingdom',2080210,82814,17227000,322000,1358.524,109.3339
2009,'United Kingdom',1775000,79301,14076000,290000,1327.4326,111.0214
2010,'United Kingdom',1939000,76730,14878000,295000,1055.5286,97.2324
2011,'United Kingdom',1969000,77486,15257000,295000,1231.6742,119.09959
2012,'United Kingdom',1992000,66571,13261000,295000,1422.334,105.74037
2013,'United Kingdom',1615000,73814,11921000,295000,1189.9453,107.85913
