@relation 'indiaWheat-weka.filters.unsupervised.attribute.Remove-R2-3,5,7,9,11,13'

@attribute Year numeric
@attribute Country {India}
@attribute 'Area Harvested [ha]' numeric
@attribute 'Yield [hg/ha]' numeric
@attribute 'Production [t]' numeric
@attribute 'Seed [t]' numeric
@attribute Rainfall numeric
@attribute 'Temp [T ]' numeric

@data
1961,India,12927000,8507,10997000,869000,1201.00856,285.187
1962,India,13570000,8896,12072000,954000,1063.2917,286.2977
1963,India,13590000,7929,10776000,851000,1091.27148,287.9726
1964,India,13499000,7299,9853000,778000,1114.52192,288.0206
1965,India,13422000,9132,12257000,971000,850.75202,289.4585
1966,India,12572000,8268,10394000,821000,942.70332,292.8968
1967,India,12838000,8874,11393000,900000,1063.22617,287.3982
1968,India,14998200,11028,16540100,1307000,944.58636,286.0124
1969,India,15958100,11688,18651600,1474000,1038.54039,293.6755
1970,India,16625500,12086,20093296,1587000,1187.41965,288.353
1971,India,18240496,13066,23832496,1883000,1129.41874,299.3728
1972,India,19138896,13799,26409904,1907000,845.98769,289.7235
1973,India,19463600,12708,24734608,1868000,1157.5539,291.108
1974,India,18583008,11719,21778000,1720000,948.58129,288.3868
1975,India,18010304,13384,24104400,1904000,1198.64158,284.6735
1976,India,20453808,14103,28846304,2279000,1032.34015,289.1059
1977,India,20921504,13866,29009904,2592000,1174.81836,290.3935
1978,India,21455696,14798,31749200,2508000,1167.85696,287.42
1979,India,22641200,15683,35507808,2805000,967.79452,293.4951
1980,India,22171696,14356,31830000,2515000,1022.38252,293.5818
1981,India,22278800,16299,36312608,2869000,1093.84761,289.2627
1982,India,22144400,16913,37451808,2959000,971.58341,289.712
1983,India,23567408,18158,42793904,3381000,1162.24725,286.5561
1984,India,24672000,18432,45476000,3592602,974.8569,288.6236
1985,India,23564896,18701,44068800,3481000,996.05489,292.4329
1986,India,22997408,20460,47051808,3717000,957.7233,289.5354
1987,India,23131200,19162,44322896,3502000,910.3813,295.8143
1988,India,23062704,20019,46169408,3647000,1164.96337,295.6569
1989,India,24109104,22444,54110208,4275000,979.23462,288.5798
1990,India,23501904,21211,49849504,2417000,1226.57991,289.5865
1991,India,24167104,22814,55134496,2626000,1006.4326,290.647
1992,India,23261904,23940,55689504,2459000,912.08529,289.3774
1993,India,24588900,23267,57210100,2515000,988.99821,292.0945
1994,India,25147300,23796,59840000,2570000,1149.30931,290.8572
1995,India,25700000,25590,65767400,2500000,1065.81321,292.4382
1996,India,25011000,24828,62097400,2588700,1023.25487,293.4098
1997,India,25887100,26789,69350200,2669600,1028.43055,287.7201
1998,India,26696100,24852,66345000,2752300,1113.68369,296.2886
1999,India,27523300,25901,71287504,2748600,983.98913,294.6962
2000,India,27486000,27785,76368896,2573060,955.25729,293.8003
2001,India,25730600,27081,69680896,2634470,912.94638,294.9589
2002,India,26344700,27621,72766304,2519570,835.90501,298.2355
2003,India,25195700,26100,65760800,2659470,985.66473,295.3358
2004,India,26594700,27132,72156200,2638290,937.58668,295.4543
2005,India,26382900,26016,68636900,2648360,989.09608,293.0286
2006,India,26483600,26188,69354500,2799450,1087.61884,296.7115
2007,India,27994500,27079,75806700,2803860,1068.64027,295.513
2008,India,28038600,28022,78570200,2775240,1042.52272,293.5509
2009,India,27752400,29071,80679400,2845740,922.63006,302.304
2010,India,28457400,28395,80803600,2906860,1146.47283,301.7911
2011,India,29068600,29886,86874000,2986000,1115.07863,294.5839
2012,India,29860000,31775,94880000,2965000,1019.39553,294.38
2013,India,29650000,31538,93510000,2965000,1160.1732,292.8763
