@relation 'ireWheat-weka.filters.unsupervised.attribute.Remove-R2-3,5,7,9,11,13'

@attribute Year numeric
@attribute Country {Ireland}
@attribute 'Area Harvested [ha]' numeric
@attribute 'Yield [hg/ha]' numeric
@attribute 'Production [t]' numeric
@attribute 'Seed [t]' numeric
@attribute Rainfall numeric
@attribute 'Temp [T ]' numeric

@data
1961,Ireland,139534,33676,469900,28000,1116.7931,112.49434
1962,Ireland,127069,34548,439000,26000,1054.8485,103.06894
1963,Ireland,94169,31921,300600,19000,1027.3343,100.64186
1964,Ireland,86763,31304,271600,17000,1090.451,111.93111
1965,Ireland,73720,31560,232660,15000,1193.6317,103.50279
1966,Ireland,53130,34877,185300,11000,1224.1596,110.1621
1967,Ireland,76810,38797,298000,15000,1121.5473,108.05965
1968,Ireland,90490,45563,412300,18000,1136.3141,109.32078
1969,Ireland,82555,43946,362800,17000,953.7262,106.54272
1970,Ireland,94695,40234,381000,19000,1092.5433,109.41135
1971,Ireland,90934,41811,380200,18000,853.3677,115.78008
1972,Ireland,67986,39773,270400,12000,1068.9608,104.76617
1973,Ireland,58478,39143,228900,11000,1026.3712,112.7628
1974,Ireland,57021,42967,245000,10000,1172.8997,108.22701
1975,Ireland,44575,43746,195000,10000,920.828,115.43157
1976,Ireland,50384,39695,200000,10000,1025.9281,113.02865
1977,Ireland,48400,51653,250000,10000,1143.9925,109.2886
1978,Ireland,49412,51202,253000,10000,1084.1425,110.36144
1979,Ireland,48846,51591,252000,11000,1192.1937,101.33664
1980,Ireland,53000,51321,272000,10000,1213.36,108.7944
1981,Ireland,49300,58012,286000,11000,1163.9002,110.47621
1982,Ireland,57100,70053,400000,12000,1255.5326,112.62685
1983,Ireland,59000,65593,387000,16000,1109.7078,115.89305
1984,Ireland,77300,77878,602000,16000,1115.4282,111.7322
1985,Ireland,78100,63380,495000,15000,1164.476,104.42918
1986,Ireland,76100,55716,424000,11000,1259.34258,99.56284
1987,Ireland,56900,70650,402000,12000,1013.0109,108.10822
1988,Ireland,58600,77645,455000,13000,1218.7138,112.91735
1989,Ireland,60700,75618,459000,14000,1054.4762,117.9068
1990,Ireland,70100,85307,598000,17000,1197.4705,118.35108
1991,Ireland,85700,78530,673000,18000,1066.491,112.16669
1992,Ireland,90600,78698,713000,16000,1138.1492,111.56574
1993,Ireland,79200,68056,539000,15000,1192.7818,109.64378
1994,Ireland,74100,77193,572000,14000,1292.6842,111.84122
1995,Ireland,70700,82461,583000,17000,1151.1725,119.00896
1996,Ireland,85700,89965,771000,19000,1127.9828,108.52497
1997,Ireland,93900,77210,725000,17000,1160.0734,121.25292
1998,Ireland,83800,80310,673000,14000,1314.1052,119.01603
1999,Ireland,68100,87665,597000,16000,1271.1212,118.71037
2000,Ireland,78000,94538,737400,17000,1250.202,114.17357
2001,Ireland,84900,90601,769200,21000,947.7992,113.41065
2002,Ireland,102700,84440,867200,19000,1378.8295,117.58742
2003,Ireland,95700,82978,794100,21000,968.061,119.04825
2004,Ireland,102700,99241,1019200,19000,1094.5405,116.51768
2005,Ireland,95200,84317,802700,18000,1099.2481,117.86305
2006,Ireland,87500,91543,801000,18000,1219.2032,119.33172
2007,Ireland,84300,84626,713400,21000,1078.8901,121.31254
2008,Ireland,110700,89702,993000,17000,1316.9969,113.10946
2009,Ireland,84500,81657,690000,16000,1346.3371,113.2757
2010,Ireland,77800,85990,669000,19000,1022.4261,102.39319
2011,Ireland,94200,98620,929000,20000,1181.6657,115.18492
2012,Ireland,98000,72245,708000,20000,1181.5519,112.31245
2013,Ireland,60600,89934,545000,20000,1105.6235,115.6426
