@relation 'ireWheat-weka.filters.unsupervised.attribute.Remove-R2-3,5,7,9,11,13-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rfirst-last'

@attribute Year {'\'(-inf-1971.4]\'','\'(1971.4-1981.8]\'','\'(1981.8-1992.2]\'','\'(1992.2-2002.6]\'','\'(2002.6-inf)\''}
@attribute Country {Ireland}
@attribute 'Area Harvested [ha]' {'\'(-inf-63566.8]\'','\'(63566.8-82558.6]\'','\'(82558.6-101550.4]\'','\'(101550.4-120542.2]\'','\'(120542.2-inf)\''}
@attribute 'Yield [hg/ha]' {'\'(-inf-44891.4]\'','\'(44891.4-58478.8]\'','\'(58478.8-72066.2]\'','\'(72066.2-85653.6]\'','\'(85653.6-inf)\''}
@attribute 'Production [t]' {'\'(-inf-352080]\'','\'(352080-518860]\'','\'(518860-685640]\'','\'(685640-852420]\'','\'(852420-inf)\''}
@attribute 'Seed [t]' {'\'(-inf-13600]\'','\'(13600-17200]\'','\'(17200-20800]\'','\'(20800-24400]\'','\'(24400-inf)\''}
@attribute Rainfall {'\'(-inf-958.46006]\'','\'(958.46006-1063.55242]\'','\'(1063.55242-1168.64478]\'','\'(1168.64478-1273.73714]\'','\'(1273.73714-inf)\''}
@attribute 'Temp [T ]' numeric

@data
'\'(-inf-1971.4]\'',Ireland,'\'(120542.2-inf)\'','\'(-inf-44891.4]\'','\'(352080-518860]\'','\'(24400-inf)\'','\'(1063.55242-1168.64478]\'',112.49434
'\'(-inf-1971.4]\'',Ireland,'\'(120542.2-inf)\'','\'(-inf-44891.4]\'','\'(352080-518860]\'','\'(24400-inf)\'','\'(958.46006-1063.55242]\'',103.06894
'\'(-inf-1971.4]\'',Ireland,'\'(82558.6-101550.4]\'','\'(-inf-44891.4]\'','\'(-inf-352080]\'','\'(17200-20800]\'','\'(958.46006-1063.55242]\'',100.64186
'\'(-inf-1971.4]\'',Ireland,'\'(82558.6-101550.4]\'','\'(-inf-44891.4]\'','\'(-inf-352080]\'','\'(13600-17200]\'','\'(1063.55242-1168.64478]\'',111.93111
'\'(-inf-1971.4]\'',Ireland,'\'(63566.8-82558.6]\'','\'(-inf-44891.4]\'','\'(-inf-352080]\'','\'(13600-17200]\'','\'(1168.64478-1273.73714]\'',103.50279
'\'(-inf-1971.4]\'',Ireland,'\'(-inf-63566.8]\'','\'(-inf-44891.4]\'','\'(-inf-352080]\'','\'(-inf-13600]\'','\'(1168.64478-1273.73714]\'',110.1621
'\'(-inf-1971.4]\'',Ireland,'\'(63566.8-82558.6]\'','\'(-inf-44891.4]\'','\'(-inf-352080]\'','\'(13600-17200]\'','\'(1063.55242-1168.64478]\'',108.05965
'\'(-inf-1971.4]\'',Ireland,'\'(82558.6-101550.4]\'','\'(44891.4-58478.8]\'','\'(352080-518860]\'','\'(17200-20800]\'','\'(1063.55242-1168.64478]\'',109.32078
'\'(-inf-1971.4]\'',Ireland,'\'(63566.8-82558.6]\'','\'(-inf-44891.4]\'','\'(352080-518860]\'','\'(13600-17200]\'','\'(-inf-958.46006]\'',106.54272
'\'(-inf-1971.4]\'',Ireland,'\'(82558.6-101550.4]\'','\'(-inf-44891.4]\'','\'(352080-518860]\'','\'(17200-20800]\'','\'(1063.55242-1168.64478]\'',109.41135
